playlist,track_id,track_name,artist,album,duration_ms,release_date,popularity
Mal🤍,50aJzMx2VCqX9D2bO3prO8,Ayram Kannumai - Male Version,K. J. Yesudas,Nokketha Doorathu Kannum Nattu (Original Motion Picture Soundtrack),289941,1984-11-23,0
Mal🤍,7MHJ04r47DAjDQ0dzNz53O,Kalyanakacheri,Shankar Mahadevan,Madambi (Original Motion Picture Soundtrack),270306,2008-07-14,0
Mal🤍,0jLTcpRb5QCgoe6yKTvLqa,Sundhariye Vaa,Franco,Chembakame (Original Motion Picture Soundtrack),278400,2006-07-24,0
Mal🤍,32kVmtrhnwtU0R236OyPie,Katte Nee Veesharuthippol,M. G. Radhakrishnan,Kaattu Vannu Vilichappol,211991,2001-06-21,0
Mal🤍,7n4224MEBhKhAZoLwNfA5x,Lajjavathiye,Jassie Gift,4 The People (Original Motion Picture Soundtrack),277865,2004,0
Mal🤍,63NYWNTkfUQFXgW2AyStfY,"Thumbi Penne - From ""Bangalore Days""",Gopi Sundar,Bangalore Days,304725,2014-05-12,0
Mal🤍,4uXj07YZjiB5OSnun0Hxbg,Kanninima Neele - Version 1,Shreya Ghoshal,Anwar (Original Motion Picture Soundtrack),232986,2010-07-30,0
Mal🤍,6r3Xe2n6lzIV3SrP2s0teO,Onakka Munthiri,Hesham Abdul Wahab,Hridayam (Side A) [Original Motion Picture Soundtrack],118688,2022-01-14,0
Mal🤍,150QIbzsnzGQLLcXVbJaXQ,Neeyilla Neram,Sooraj S. Kurup,LUCA,216555,2019-06-10,0
Mal🤍,2IgM9TTSJKTqyYYZvXGcip,Allimalar Kaavil,M. G. Radhakrishnan,Mithunam (Original Motion Picture Soundtrack),260160,1993-03-12,0
Mal🤍,2a2DZ478YbLuN7Qg7BgueD,Karthaave,Deepak Dev,Christian Brothers (Original Motion Picture Soundtrack),270640,2011-03-18,0
Mal🤍,3TnxeMPox7aQITVYlJIdL5,Kaane Kaane,Deepak Dev,Puthiyamugham (Original Motion Picture Soundtrack),200640,2009-05-12,0
Mal🤍,0vvlXqo7vNXmMDwSqXldLy,"Mazhavillile - From ""Falimy""",Vishnu Vijay,"Mazhavillile (From ""Falimy"")",196609,2023-11-15,0
Mal🤍,7kCX9GG7ALpCfqGR0fGDjB,Uyire,Narayani Gopan,Minnal Murali,327155,2021-12-21,0
Mal🤍,6Zz6SX24b3DfUe9wAhHEsR,Thanne Thanne,Rajesh Murugesan,Gold (Original Motion Picture Soundtrack),236290,2022-12-01,0
Mal🤍,5CBCCBEQCDaFdfi2Bij7WQ,Daivame,Justin Varghese,Thanneer Mathan Dinangal (Original Motion Picture Soundtrack),186522,2019-07-26,0
Mal🤍,1GfiVjQ9ujvBONcChqFI2c,"K For Kurukku (From ""Guruvayoorambala Nadayil"")",Ankit Menon,"K For Kurukku (From ""Guruvayoorambala Nadayil"")",210464,2024-05-28,0
Mal🤍,36xrMiWLPevoPhIPOlpCbC,"K For Kalyanam (From ""Guruvayoorambala Nadayil"")",Ankit Menon,"K For Kalyanam (From ""Guruvayoorambala Nadayil"")",226285,2024-05-14,0
Mal🤍,2mFXx4D49RdesixfLSsoU0,"Vatteppam (From ""Mandakini"")",Bibin Ashok,"Vatteppam (From ""Mandakini"")",192500,2024-05-09,0
Mal🤍,45qfKR6AH0iddUNaRUo9Zc,Anuraghathin Velayil,Vineeth Sreenivasan,Thattathin Marayathu (Original Motion Picture Soundtrack),298186,2012-07-31,0
Mal🤍,6pigOvY5f5dAE7gaVUy6RV,AARU PARANJU AARU PARANJU,Ajmal Huzain,AARU PARANJU AARU PARANJU,65500,2023-12-20,0
Mal🤍,1LEn1MF7PGfBougaTFOD8R,Vandine thedum - Extended Version,Rajat Prakash,Vandine thedum (Extended Version),144000,2022-06-09,0
Mal🤍,7Je0oWG9OjLhHEXd2eHsFF,"Kiliye - From ""ARM""",Dhibu Ninan Thomas,"Kiliye (From ""ARM"")",271641,2024-09-02,0
Mal🤍,6Z2mcjkCZ8HYy6LuSDGfDK,Vaanam,Vidyasagar,Anarkali (Original Motion Picture Soundtrack),282776,2015-10-23,0
Mal🤍,3cZ1L75hTPcF9Cxr3oEzcj,"Aval - From ""Op 160/18 Kakshi: Amminippilla""",Arun Muraleedharan,"Aval (From ""Op 160/18 Kakshi: Amminippilla"")",263028,2019-06-21,0
Mal🤍,7e76tfLZK1jI4ZjsRA6Bjp,Jeevana,K. S. Harisankar,Jeevana,259213,2021-03-19,0
